sector_code,sector_name,current,change_abs,change_sign,change_pct,volume
000001.KS,종합(KOSPI),8433.42,▲,229.58,2.8,224086
000002.KS,대형주,9374.84,▲,265.42,2.91,61738
000003.KS,중형주,4126.67,▲,52.38,1.29,41500
000004.KS,소형주,2288.59,▲,21.9,0.97,114481
000005.KS,음식료/담배,4523.94,▲,40.13,0.89,6781
000006.KS,섬유/의류,224.0,▲,1.44,0.65,1933
000007.KS,종이/목재,205.17,▲,1.27,0.62,1540
000008.KS,화학,4348.47,▲,106.94,2.52,9085
000009.KS,제약,14597.53,▲,827.67,6.01,9043
000010.KS,비금속,3409.72,▲,33.66,1.0,2401
000011.KS,금속,6852.95,▲,156.67,2.34,37654
000012.KS,기계/장비,3483.84,▲,121.89,3.63,15344
000013.KS,전기/전자,147253.99,▲,5218.81,3.67,54019
000014.KS,의료/정밀기기,1694.7,▲,18.08,1.08,467
000015.KS,운송장비/부품,5859.89,▲,88.97,1.54,17201
000016.KS,유통,768.87,▲,40.15,5.51,9573
000017.KS,전기/가스,1120.98,▲,23.23,2.12,1630
000018.KS,건설,158.74,▲,5.22,3.4,10709
000019.KS,운송/창고,1883.3,▲,53.15,2.9,7491
000020.KS,통신,607.37,▲,2.96,0.49,1956
000021.KS,금융,1256.89,▼,-14.47,-1.14,26016
000024.KS,증권,5982.44,▲,59.7,1.01,6636
000025.KS,보험,56126.75,▲,510.43,0.92,6537
000026.KS,일반서비스,1306.48,▲,27.74,2.17,2437
000027.KS,제조,25783.27,▲,868.9,3.49,157562
000028.KS,부동산,852.19,▼,-0.73,-0.09,1573
000029.KS,IT 서비스,1189.16,▲,2.22,0.19,3061
000030.KS,오락/문화,922.4,▼,-0.17,-0.02,1402
000603.KS,변동성지수,94.74,▲,5.33,5.96,0
000604.KS,코스피고배당50,4413.89,▲,5.01,0.11,8732
000605.KS,코스피배당성장50,6915.48,▲,26.86,0.39,11636
