industry_name,change_pct
에너지및관련서비스,-0.0213
화학,0.0069
건축자재,0.0204
금속및채광,-0.0266
소재산업(기타),0.0328
우주항공및국방,-0.0059
건설및건축제품,0.0205
기계및전기장비,0.0128
복합기업,0.0266
무역회사,0.0158
상업및전문서비스,0.0176
항공사및항공운송,0.0206
해운,-0.014
운송인프라(도로선로),0.0138
자동차,-0.0149
자동차관련부품,-0.001
섬유의복및호화제품,0.0054
가정용내구재,0.0216
레져서비스및제품,0.0112
소비자서비스,0.0087
미디어,-0.0094
도/소매,0.0084
음식료및담배생산,0.0008
가정및개인용품,0.0043
음식료소매,0.0017
건강관리장비및서비스,0.0065
제약,0.0022
바이오,0.018
상업은행,-0.003
보험,0.0019
REIT및부동산관리개발,0.0041
금융서비스,-0.0097
반도체및반도체장비,0.0294
소프트웨어및IT서비스,-0.0126
컴퓨터및전자장비,0.0023
통신장비,0.0033
유선및기타통신,-0.0189
무선통신,-0.0148
전기,0.0118
가스,0.0026
공익사업(기타),0.0114
