sector,ticker,name,current,change_sign,change_abs,change_pct,volume,market_cap_thousand,per
에너지및관련서비스,SJT,산 후안 베이슨 로열티 트러스트,3.109,▲,0.169,0.0575,380933,144907,-374.58
에너지및관련서비스,MMLP,마틴 미드스트림 파트너스,2.29,▲,0.11,0.0505,55886,89596,-6.19
에너지및관련서비스,DWSN,도슨 지오피지컬,4.74,▲,0.17,0.0372,47611,147190,-79.0
에너지및관련서비스,DK,델렉 유에스 홀딩스,45.0,▲,1.59,0.0366,886957,2757938,-118.42
에너지및관련서비스,PARR,파 퍼시픽 홀딩스,51.85,▲,1.15,0.0227,1026710,2599982,7.24
에너지및관련서비스,GEVO,제보,1.43,▲,0.03,0.0214,2990101,348078,-10.21
에너지및관련서비스,GPRE,그린 플레인스,14.64,▲,0.23,0.016,1869687,1025242,-8.13
에너지및관련서비스,TPL,텍사스 퍼시픽 랜드,375.11,▲,5.21,0.0141,360682,25872987,53.82
에너지및관련서비스,NFE,뉴 포트리스 에너지,0.3845,▲,0.005,0.0132,4942591,109827,-0.06
에너지및관련서비스,CAPL,크로스아메리카 파트너스,22.2,▲,0.23,0.0105,41560,847025,21.76
에너지및관련서비스,CRT,크로스 팀버스 로열티 트러스트,8.67,▲,0.09,0.0105,21390,52020,11.58
에너지및관련서비스,NC,나코 인더스트리스,51.79,▲,0.51,0.0099,20116,309642,22.04
화학,LOOP,루프 인더스트리,0.7902,▲,0.07,0.0972,66936,38230,-3.04
화학,SMG,스코츠 미러클 그로,68.54,▲,5.05,0.0795,1200848,3987787,27.75
화학,KWR,퀘이커 호턴,156.0,▲,9.49,0.0648,214148,2709158,-1114.29
화학,CC,케무어스,21.17,▲,1.21,0.0606,6212760,3183502,-8.24
화학,VVV,밸보라인,40.4,▲,2.08,0.0543,1950403,5152454,24.63
화학,CBT,캐보트,91.89,▲,4.4,0.0503,766977,4743490,15.26
화학,SCL,스테판,55.05,▲,2.3,0.0436,133747,1250367,26.85
화학,RPM,RPM 인터내셔널,109.7,▲,3.66,0.0345,882413,14000682,20.5
화학,SHW,셔윈 윌리엄스,333.12,▲,10.22,0.0317,2847704,82159384,32.47
화학,AXTA,엑솔타 코팅 시스템스,34.66,▲,1.02,0.0303,2343940,7417899,19.92
화학,NGVT,인제비티,74.75,▲,2.09,0.0288,223685,2599185,-16.21
화학,ECL,에코랩,276.29,▲,7.63,0.0284,1722486,77758505,37.95
건축자재,JHX,제임스 하디 인더스트리스,25.67,▲,1.39,0.0572,9050680,14896686,135.11
건축자재,EXP,이글 머티리얼스,233.65,▲,12.56,0.0568,460963,7218734,17.75
